"","title","budget","revenue","profit","profitable","profitable.ind","release_date","release_year","genre","runtime","vote_average","vote_count","event"
"437","Grown Ups",80000000,271430189,191430189,"Profitable",1,2010-06-24,2010,"Comedy",102,6,1705,"summer"
"438","The Terminal",60000000,219417255,159417255,"Profitable",1,2004-06-17,2004,"Drama",128,7,1910,"summer"
"439","Hotel for Dogs",35000000,73034460,38034460,"Profitable",1,2009-01-16,2009,"Comedy",100,5.7,202,"na"
"440","Vertical Limit",75000000,215663859,140663859,"Profitable",1,2000-12-08,2000,"Action/Adventure",124,5.9,283,"holiday"
"441","Charlie Wilson's War",75000000,119000410,44000410,"Profitable",1,2007-12-19,2007,"Drama",102,6.5,338,"holiday"
"442","Shark Tale",75000000,367275019,292275019,"Profitable",1,2004-09-20,2004,"Comedy",90,5.8,1557,"na"
"443","Dreamgirls",70000000,154937680,84937680,"Profitable",1,2006-12-25,2006,"Drama",134,6.6,284,"holiday"
"444","Be Cool",53000000,95226116,42226116,"Profitable",1,2005-03-04,2005,"Comedy",118,5.4,292,"na"
"445","Munich",70000000,130358911,60358911,"Profitable",1,2005-12-22,2005,"Drama",164,6.9,696,"holiday"
"446","Tears of the Sun",70000000,85632458,15632458,"Profitable",1,2003-03-07,2003,"Drama",121,6.4,573,"na"
"447","Killers",75000000,98159963,23159963,"Profitable",1,2010-06-04,2010,"Comedy",100,5.7,772,"summer"
"448","The Man from U.N.C.L.E.",75000000,108145109,33145109,"Profitable",1,2015-08-13,2015,"Comedy",116,7.1,2265,"summer"
"449","Spanglish",80000000,55041367,-24958633,"Not Profitable",0,2004-12-17,2004,"Comedy",130,5.8,369,"holiday"
"450","Monster House",75000000,140175006,65175006,"Profitable",1,2006-07-21,2006,"Comedy",91,6.3,874,"summer"
"451","Bandits",75000000,67631903,-7368097,"Not Profitable",0,2001-10-12,2001,"Comedy",123,6.2,302,"na"
"452","Immortals",75000000,226904017,151904017,"Profitable",1,2011-11-10,2011,"Drama",110,5.7,880,"holiday"
"453","Hostage",52000000,77944725,25944725,"Profitable",1,2005-03-09,2005,"Drama",113,6.2,512,"na"
"454","Titan A.E.",75000000,36754634,-38245366,"Not Profitable",0,2000-06-16,2000,"Action/Adventure",94,6.3,313,"summer"
"455","Hollywood Homicide",75000000,51142659,-23857341,"Not Profitable",0,2003-06-09,2003,"Comedy",116,5,166,"summer"
"456","Monkeybone",75000000,5409517,-69590483,"Not Profitable",0,2001-02-23,2001,"Comedy",93,4.3,78,"na"
"457","Flight of the Phoenix",45000000,21009180,-23990820,"Not Profitable",0,2004-12-17,2004,"Drama",113,5.7,276,"holiday"
"458","Unbreakable",75000000,248118121,173118121,"Profitable",1,2000-11-13,2000,"Drama",106,6.9,1946,"holiday"
"459","Minions",74000000,1156730962,1082730962,"Profitable",1,2015-06-17,2015,"Comedy",91,6.4,4571,"summer"
"460","Sucker Punch",82000000,89792502,7792502,"Profitable",1,2011-03-24,2011,"Action/Adventure",110,5.9,1623,"na"
"461","The Angry Birds Movie",73000000,349779543,276779543,"Profitable",1,2016-05-11,2016,"Family/Animation",97,5.9,1022,"na"
"462","Fool's Gold",70000000,111231041,41231041,"Profitable",1,2008-02-07,2008,"Comedy",112,5.4,444,"na"
"463","Funny People",75000000,61458982,-13541018,"Not Profitable",0,2009-07-31,2009,"Drama",146,5.7,390,"summer"
"464","The Kingdom",70000000,86658558,16658558,"Profitable",1,2007-08-22,2007,"Drama",110,6.5,513,"summer"
"465","Talladega Nights: The Ballad of Ricky Bobby",72500000,162966177,90466177,"Profitable",1,2006-08-04,2006,"Comedy",116,6.2,491,"summer"
"466","Dr. Dolittle 2",70000000,176104344,106104344,"Profitable",1,2001-06-22,2001,"Comedy",87,4.9,410,"summer"
"467","Jarhead",72000000,96889998,24889998,"Profitable",1,2005-11-04,2005,"Drama",125,6.6,765,"holiday"
"468","The Simpsons Movie",75000000,527068851,452068851,"Profitable",1,2007-07-25,2007,"Comedy",87,6.9,2264,"summer"
"469","The Majestic",72000000,37317558,-34682442,"Not Profitable",0,2001-12-21,2001,"Drama",152,6.6,188,"holiday"
"470","Driven",94000000,54744738,-39255262,"Not Profitable",0,2001-04-27,2001,"Action/Adventure",116,4.5,179,"na"
"471","The Village",60000000,256697520,196697520,"Profitable",1,2004-07-30,2004,"Drama",108,6.2,1071,"summer"
"472","Signs",72000000,408247917,336247917,"Profitable",1,2002-08-02,2002,"Drama",106,6.4,1599,"summer"
"473","Shrek 2",150000000,919838758,769838758,"Profitable",1,2004-05-19,2004,"Comedy",93,6.7,2988,"na"
"474","Cars",120000000,461983149,341983149,"Profitable",1,2006-06-08,2006,"Comedy",117,6.6,3877,"summer"
"475","xXx",70000000,277448382,207448382,"Profitable",1,2002-08-09,2002,"Action/Adventure",124,5.8,1424,"summer"
"476","The SpongeBob Movie: Sponge Out of Water",74000000,311594032,237594032,"Profitable",1,2015-02-05,2015,"Comedy",93,5.8,719,"na"
"477","Inglourious Basterds",70000000,319131050,249131050,"Profitable",1,2009-08-18,2009,"Drama",153,7.9,6430,"summer"
"478","S.W.A.T.",80000000,116643346,36643346,"Profitable",1,2003-08-08,2003,"Action/Adventure",117,5.8,770,"summer"
"479","Vanilla Sky",68000000,203388341,135388341,"Profitable",1,2001-12-10,2001,"Drama",136,6.5,1078,"holiday"
"480","Lady in the Water",75000000,42285169,-32714831,"Not Profitable",0,2006-07-21,2006,"Drama",110,5.3,409,"summer"
"481","AVP: Alien vs. Predator",70000000,171183863,101183863,"Profitable",1,2004-08-12,2004,"Action/Adventure",101,5.5,1217,"summer"
"482","Alvin and the Chipmunks: The Squeakquel",75000000,443140005,368140005,"Profitable",1,2009-12-21,2009,"Comedy",88,5.4,666,"holiday"
"483","We Were Soldiers",75000000,114660784,39660784,"Profitable",1,2002-03-01,2002,"Action/Adventure",138,6.7,521,"na"
"484","Olympus Has Fallen",70000000,161025640,91025640,"Profitable",1,2013-03-20,2013,"Action/Adventure",120,6.2,2981,"na"
"485","Battle: Los Angeles",70000000,202466756,132466756,"Profitable",1,2011-03-08,2011,"Action/Adventure",116,5.5,1448,"na"
"486","Big Fish",70000000,122919055,52919055,"Profitable",1,2003-12-25,2003,"Drama",125,7.6,1994,"holiday"
"487","War Horse",66000000,177584879,111584879,"Profitable",1,2011-12-25,2011,"Drama",146,7,992,"holiday"
"488","The Monuments Men",70000000,154984035,84984035,"Profitable",1,2014-01-24,2014,"Drama",118,5.8,1523,"na"
"489","Wall Street: Money Never Sleeps",70000000,134748021,64748021,"Profitable",1,2010-09-02,2010,"Drama",133,5.8,493,"na"
"490","Dracula Untold",70000000,215529201,145529201,"Profitable",1,2014-10-01,2014,"Drama",92,6.2,2389,"na"
"491","Stardust",70000000,135560026,65560026,"Profitable",1,2007-08-09,2007,"Action/Adventure",127,7.1,1184,"summer"
"492","The Dilemma",70000000,67112664,-2887336,"Not Profitable",0,2011-01-13,2011,"Drama",111,5.2,304,"na"
"493","Bad Company",70000000,65977295,-4022705,"Not Profitable",0,2002-06-07,2002,"Comedy",116,5.4,228,"summer"
"494","Doom",60000000,55987321,-4012679,"Not Profitable",0,2005-10-20,2005,"Action/Adventure",105,5,609,"na"
"495","I Spy",70000000,33561137,-36438863,"Not Profitable",0,2002-10-31,2002,"Comedy",97,5.2,269,"na"
"496","Underworld: Awakening",70000000,160112671,90112671,"Profitable",1,2012-01-19,2012,"Action/Adventure",88,6.1,1862,"na"
"497","Rock of Ages",75000000,59418613,-15581387,"Not Profitable",0,2012-06-13,2012,"Drama",123,6,385,"summer"
"498","Hart's War",70000000,32287044,-37712956,"Not Profitable",0,2002-02-15,2002,"Drama",125,5.9,241,"na"
"499","Killer Elite",66000000,57777106,-8222894,"Not Profitable",0,2011-09-23,2011,"Action/Adventure",116,6.1,695,"na"
"500","Ballistic: Ecks vs. Sever",70000000,19924033,-50075967,"Not Profitable",0,2002-09-20,2002,"Action/Adventure",91,4.3,97,"na"
"501","Osmosis Jones",75000000,13596911,-61403089,"Not Profitable",0,2001-08-07,2001,"Comedy",95,5.9,228,"summer"
"502","Legends of Oz: Dorothy's Return",70000000,18662027,-51337973,"Not Profitable",0,2013-06-13,2013,"Family/Animation",88,5.9,43,"summer"
"503","Blackhat",70000000,17752940,-52247060,"Not Profitable",0,2015-01-13,2015,"Drama",133,5.1,826,"na"
"504","Sky Captain and the World of Tomorrow",70000000,57958696,-12041304,"Not Profitable",0,2004-09-17,2004,"Action/Adventure",107,5.7,439,"na"
"505","Basic Instinct 2",70000000,38629478,-31370522,"Not Profitable",0,2006-03-29,2006,"Crime",114,4.6,180,"na"
"506","Escape Plan",50000000,122915111,72915111,"Profitable",1,2013-10-09,2013,"Action/Adventure",115,6.7,1659,"na"
"507","The Legend of Hercules",70000000,61279452,-8720548,"Not Profitable",0,2014-01-10,2014,"Action/Adventure",99,4.4,533,"na"
"508","The Sum of All Fears",68000000,193000000,125000000,"Profitable",1,2002-05-31,2002,"Drama",124,5.9,437,"na"
"509","The Twilight Saga: Eclipse",68000000,698491347,630491347,"Profitable",1,2010-06-23,2010,"Drama",124,5.8,2301,"summer"
"510","The Score",68000000,71069884,3069884,"Profitable",1,2001-07-13,2001,"Action/Adventure",124,6.7,423,"summer"
"511","Despicable Me",69000000,543513985,474513985,"Profitable",1,2010-07-08,2010,"Family/Animation",95,7.1,6478,"summer"
"512","Ted 2",68000000,217022588,149022588,"Profitable",1,2015-06-25,2015,"Comedy",115,6.2,2463,"summer"
"513","Agora",70000000,39041505,-30958495,"Not Profitable",0,2009-05-17,2009,"Drama",127,6.9,395,"na"
"514","Hall Pass",36000000,83160734,47160734,"Profitable",1,2011-02-25,2011,"Comedy",105,5.4,611,"na"
"515","The Finest Hours",80000000,52099090,-27900910,"Not Profitable",0,2016-01-25,2016,"Drama",114,6.3,588,"na"
"516","Body of Lies",70000000,113280098,43280098,"Profitable",1,2008-10-10,2008,"Drama",128,6.5,895,"na"
"517","Dinner for Schmucks",69000000,86387857,17387857,"Profitable",1,2010-07-30,2010,"Comedy",114,5.5,531,"summer"
"518","Abraham Lincoln: Vampire Hunter",69000000,112265139,43265139,"Profitable",1,2012-06-20,2012,"Action/Adventure",94,5.5,1269,"summer"
"519","The Last Legion",67000000,25303038,-41696962,"Not Profitable",0,2007-04-19,2007,"Action/Adventure",102,5,207,"na"
"520","Need for Speed",66000000,203277636,137277636,"Profitable",1,2014-03-13,2014,"Drama",130,6.1,1520,"na"
"521","What Women Want",70000000,374111707,304111707,"Profitable",1,2000-12-15,2000,"Comedy",127,6.1,992,"holiday"
"522","Ice Age",59000000,383257136,324257136,"Profitable",1,2002-03-10,2002,"Comedy",81,7.1,3857,"na"
"523","Dreamcatcher",68000000,75715436,7715436,"Profitable",1,2003-03-21,2003,"Drama",136,5.3,567,"na"
"524","Lincoln",65000000,275293450,210293450,"Profitable",1,2012-11-09,2012,"Drama",149,6.7,1429,"holiday"
"525","The Santa Clause 2",65000000,172855065,107855065,"Profitable",1,2002-10-31,2002,"Comedy",104,5.5,297,"na"
"526","Les Misérables",61000000,441809770,380809770,"Profitable",1,2012-12-18,2012,"Drama",157,7.1,1884,"holiday"
"527","Step Brothers",65000000,128107642,63107642,"Profitable",1,2008-07-25,2008,"Comedy",98,6.5,1062,"summer"
"528","Due Date",65000000,211780824,146780824,"Profitable",1,2010-11-04,2010,"Drama",95,6.2,1685,"holiday"
"529","Unbroken",65000000,163442937,98442937,"Profitable",1,2014-12-25,2014,"Drama",137,7.3,1400,"holiday"
"530","Space Cowboys",65000000,128884132,63884132,"Profitable",1,2000-07-31,2000,"Action/Adventure",130,6.3,403,"summer"
"531","The Kid",65000000,69700000,4700000,"Profitable",1,2000-07-07,2000,"Comedy",104,6,238,"summer"
"532","World Trade Center",63000000,162945894,99945894,"Profitable",1,2006-08-09,2006,"Drama",128,5.9,447,"summer"
"533","The Dictator",65000000,179379533,114379533,"Profitable",1,2012-05-15,2012,"Comedy",83,5.9,1743,"na"
"534","Annie",65000000,133821816,68821816,"Profitable",1,2014-12-19,2014,"Drama",119,6,466,"holiday"
"535","Focus",50100000,153962963,103862963,"Profitable",1,2015-02-25,2015,"Drama",105,6.7,2542,"na"
"536","This Means War",65000000,156974557,91974557,"Profitable",1,2012-02-14,2012,"Comedy",103,5.9,1389,"na"
"537","Blade: Trinity",65000000,128905366,63905366,"Profitable",1,2004-12-08,2004,"Action/Adventure",123,5.7,1252,"holiday"
"538","Resident Evil: Retribution",65000000,240159255,175159255,"Profitable",1,2012-09-12,2012,"Action/Adventure",95,5.6,1600,"na"
"539","Death Race",45000000,73762516,28762516,"Profitable",1,2008-08-22,2008,"Action/Adventure",105,6,1175,"summer"
"540","Zathura: A Space Adventure",65000000,64321501,-678499,"Not Profitable",0,2005-11-06,2005,"Action/Adventure",101,6.1,779,"holiday"
"541","We Are Marshall",65000000,43545364,-21454636,"Not Profitable",0,2006-12-12,2006,"Drama",124,6.7,186,"holiday"
"542","I, Frankenstein",65000000,71154592,6154592,"Profitable",1,2014-01-22,2014,"Thriller/Mystery/Horror",92,5,687,"na"
"543","Oliver Twist",50000000,42093706,-7906294,"Not Profitable",0,2005-09-23,2005,"Drama",130,6.7,274,"na"
"544","Elektra",43000000,56681566,13681566,"Profitable",1,2005-01-13,2005,"Action/Adventure",97,4.8,575,"na"
"545","Sin City: A Dame to Kill For",65000000,39407616,-25592384,"Not Profitable",0,2014-08-20,2014,"Crime",102,6.3,1286,"summer"
"546","Everest",55000000,203427584,148427584,"Profitable",1,2015-09-10,2015,"Drama",121,6.7,1772,"na"
"547","Perfume: The Story of a Murderer",50000000,132180323,82180323,"Profitable",1,2006-09-13,2006,"Drama",147,7.1,1165,"na"
"548","Austin Powers in Goldmember",63000000,296655431,233655431,"Profitable",1,2002-07-26,2002,"Comedy",94,5.9,979,"summer"
"549","Astro Boy",65000000,44091067,-20908933,"Not Profitable",0,2009-10-15,2009,"Action/Adventure",94,6.1,409,"na"
"550","Little Man",64000000,101595121,37595121,"Profitable",1,2006-08-31,2006,"Comedy",98,5.3,261,"summer"
"551","U-571",62000000,127666415,65666415,"Profitable",1,2000-04-20,2000,"Drama",116,6.1,340,"na"
"552","The Love Guru",62000000,41819064,-20180936,"Not Profitable",0,2008-06-20,2008,"Comedy",87,4.3,242,"summer"
"553","3000 Miles to Graceland",62000000,18720175,-43279825,"Not Profitable",0,2001-02-23,2001,"Comedy",125,5.8,178,"na"
"554","The Hateful Eight",44000000,155760117,111760117,"Profitable",1,2015-12-25,2015,"Drama",167,7.6,4274,"holiday"
"555","Hop",63000000,183953723,120953723,"Profitable",1,2011-03-30,2011,"Comedy",95,5.5,331,"na"
"556","300",65000000,422610419,357610419,"Profitable",1,2006-12-09,2006,"Action/Adventure",117,7,4997,"holiday"
"557","Meet the Fockers",80000000,516642939,436642939,"Profitable",1,2004-12-22,2004,"Comedy",115,6.1,1373,"holiday"
"558","Marley & Me",60000000,244082376,184082376,"Profitable",1,2008-12-25,2008,"Comedy",115,6.9,1343,"holiday"
"559","Chicken Little",150000000,314432665,164432665,"Profitable",1,2005-11-04,2005,"Comedy",81,5.6,944,"holiday"
"560","Gone Girl",61000000,369330363,308330363,"Profitable",1,2014-10-01,2014,"Drama",145,7.9,5862,"na"
"561","The Bourne Identity",60000000,214034224,154034224,"Profitable",1,2002-06-14,2002,"Drama",119,7.3,3583,"summer"
"562","Daddy Day Care",60000000,164433867,104433867,"Profitable",1,2003-05-03,2003,"Comedy",92,5.6,506,"na"
"563","2 Guns",61000000,131940411,70940411,"Profitable",1,2013-08-02,2013,"Comedy",109,6.6,1589,"summer"
"564","Cats & Dogs",60000000,93375151,33375151,"Profitable",1,2001-07-04,2001,"Comedy",87,5,352,"summer"
"565","The Italian Job",60000000,176070171,116070171,"Profitable",1,2003-05-30,2003,"Action/Adventure",110,6.6,1919,"na"
"566","Two Weeks Notice",60000000,93354918,33354918,"Profitable",1,2002-12-19,2002,"Comedy",101,5.9,487,"holiday"
"567","Couples Retreat",70000000,171844840,101844840,"Profitable",1,2009-09-19,2009,"Comedy",113,5.3,588,"na"
"568","Cheaper by the Dozen 2",60000000,129181830,69181830,"Profitable",1,2005-12-21,2005,"Comedy",94,5.7,526,"holiday"
"569","Maze Runner: The Scorch Trials",61000000,311256926,250256926,"Profitable",1,2015-09-09,2015,"Action/Adventure",132,6.4,3040,"na"
"570","Eat Pray Love",60000000,204594016,144594016,"Profitable",1,2010-08-12,2010,"Drama",133,5.8,636,"summer"
"571","RED",58000000,71664962,13664962,"Profitable",1,2010-10-13,2010,"Comedy",111,6.6,2808,"na"
"572","Collateral",65000000,217764291,152764291,"Profitable",1,2004-08-04,2004,"Drama",120,7,1451,"summer"
"573","The Scorpion King",60000000,165333180,105333180,"Profitable",1,2002-04-16,2002,"Action/Adventure",92,5.3,779,"na"
"574","Ladder 49",60000000,74541707,14541707,"Profitable",1,2004-10-01,2004,"Drama",115,6.2,207,"na"
"575","Jack Reacher",60000000,218340595,158340595,"Profitable",1,2012-12-20,2012,"Drama",130,6.3,2998,"holiday"
"576","Contagion",60000000,137551594,77551594,"Profitable",1,2011-09-08,2011,"Drama",106,6.2,1325,"na"
"577","Coraline",60000000,124596398,64596398,"Profitable",1,2009-02-05,2009,"Family/Animation",100,7.3,1386,"na"
"578","The Happening",60000000,163403799,103403799,"Profitable",1,2008-06-11,2008,"Sci-fi/Fantasy",91,4.9,950,"summer"
"579","Man on Fire",70000000,130293714,60293714,"Profitable",1,2004-04-23,2004,"Drama",146,7.3,1553,"na"
"580","The Shaggy Dog",50000000,61112916,11112916,"Profitable",1,2006-03-09,2006,"Comedy",98,4.5,137,"na"
"581","Starsky & Hutch",60000000,170268750,110268750,"Profitable",1,2004-03-05,2004,"Comedy",101,5.6,644,"na"
"582","Hellboy",66000000,99318987,33318987,"Profitable",1,2004-04-02,2004,"Action/Adventure",122,6.5,2225,"na"
"583","ParaNorman",60000000,107139399,47139399,"Profitable",1,2012-08-03,2012,"Comedy",90,6.7,789,"summer"
"584","Paycheck",60000000,96269812,36269812,"Profitable",1,2003-12-25,2003,"Action/Adventure",119,5.9,581,"holiday"
"585","The Tale of Despereaux",60000000,50877145,-9122855,"Not Profitable",0,2008-12-19,2008,"Action/Adventure",93,5.8,258,"holiday"
"586","Jack Ryan: Shadow Recruit",60000000,50549107,-9450893,"Not Profitable",0,2014-01-15,2014,"Drama",105,5.9,1173,"na"
"587","Joy",60000000,101134059,41134059,"Profitable",1,2015-12-24,2015,"Drama",124,6.4,1581,"holiday"
"588","London Has Fallen",60000000,205754447,145754447,"Profitable",1,2016-03-02,2016,"Action/Adventure",99,5.8,1621,"na"
"589","Shooter",61000000,95696996,34696996,"Profitable",1,2007-03-22,2007,"Drama",124,6.9,1462,"na"
"590","The Boxtrolls",60000000,108255770,48255770,"Profitable",1,2014-09-10,2014,"Comedy",97,6.6,668,"na"
"591","The Lego Movie",60000000,469160692,409160692,"Profitable",1,2014-02-06,2014,"Comedy",100,7.5,3070,"na"
"592","Reign of Fire",60000000,43061982,-16938018,"Not Profitable",0,2002-07-12,2002,"Action/Adventure",101,6,669,"summer"
"593","Gangster Squad",60000000,105200903,45200903,"Profitable",1,2013-01-10,2013,"Drama",113,6.2,1778,"na"
"594","Year One",60000000,62357900,2357900,"Profitable",1,2009-06-18,2009,"Comedy",97,4.6,524,"summer"
"595","Invictus",60000000,122233971,62233971,"Profitable",1,2009-12-10,2009,"Drama",134,7,1125,"holiday"
"596","State of Play",60000000,87784194,27784194,"Profitable",1,2009-04-17,2009,"Action/Adventure",127,6.7,484,"na"
"597","Duplicity",78146652,60000000,-18146652,"Not Profitable",0,2009-03-19,2009,"Comedy",125,5.7,201,"na"
"598","The Sentinel",60000000,77920346,17920346,"Profitable",1,2006-04-19,2006,"Action/Adventure",108,5.8,225,"na"
"599","Planet 51",70000000,104945765,34945765,"Profitable",1,2009-11-19,2009,"Comedy",91,5.6,556,"holiday"
"600","Star Trek: Nemesis",60000000,67312826,7312826,"Profitable",1,2002-12-13,2002,"Action/Adventure",117,6.1,479,"holiday"
"601","Intolerable Cruelty",60000000,119940815,59940815,"Profitable",1,2003-09-02,2003,"Comedy",100,5.8,391,"na"
"602","Edge of Darkness",80000000,74901339,-5098661,"Not Profitable",0,2010-01-29,2010,"Drama",117,6.2,487,"na"
"603","Analyze That",60000000,55003135,-4996865,"Not Profitable",0,2002-12-06,2002,"Comedy",96,5.7,380,"holiday"
"604","Righteous Kill",60000000,73174566,13174566,"Profitable",1,2008-09-11,2008,"Drama",101,5.9,375,"na"
"605","The Soloist",60000000,31720158,-28279842,"Not Profitable",0,2009-04-24,2009,"Drama",109,6.6,234,"na"
"606","The Legend of Bagger Vance",80000000,39459427,-40540573,"Not Profitable",0,2000-11-02,2000,"Drama",126,6.3,251,"holiday"
"607","Almost Famous",60000000,47383689,-12616311,"Not Profitable",0,2000-09-15,2000,"Drama",122,7.4,797,"na"
"608","xXx: State of the Union",60000000,71073932,11073932,"Profitable",1,2005-04-27,2005,"Drama",101,4.7,549,"na"
"609","Priest",60000000,78309131,18309131,"Profitable",1,2011-05-05,2011,"Action/Adventure",87,5.4,692,"na"
"610","Sinbad: Legend of the Seven Seas",60000000,26288320,-33711680,"Not Profitable",0,2003-07-02,2003,"Action/Adventure",86,6.6,372,"summer"
"611","Dragonfly",60000000,52322400,-7677600,"Not Profitable",0,2002-02-22,2002,"Drama",104,6.1,204,"na"
"612","The Black Dahlia",50000000,49111202,-888798,"Not Profitable",0,2006-09-15,2006,"Drama",121,5.7,287,"na"
"613","Flyboys",60000000,17800000,-42200000,"Not Profitable",0,2006-09-22,2006,"Drama",140,6.3,271,"na"
"614","The Last Castle",72000000,27642707,-44357293,"Not Profitable",0,2001-10-19,2001,"Drama",131,7,285,"na"
"615","Supernova",90000000,14828081,-75171919,"Not Profitable",0,2000-01-14,2000,"Sci-fi/Fantasy",91,4.9,109,"na"
"616","Winter's Tale",60000000,30800231,-29199769,"Not Profitable",0,2014-02-13,2014,"Drama",118,6,487,"na"
"617","The Mortal Instruments: City of Bones",60000000,90565421,30565421,"Profitable",1,2013-08-21,2013,"Drama",130,6.2,1602,"summer"
"618","Meet Dave",60000000,50650079,-9349921,"Not Profitable",0,2008-07-08,2008,"Comedy",90,5,371,"summer"
"619","Dark Water",30000000,25473093,-4526907,"Not Profitable",0,2005-06-27,2005,"Drama",105,5.3,274,"summer"
"620","Inkheart",60000000,57490374,-2509626,"Not Profitable",0,2008-12-11,2008,"Action/Adventure",106,6,592,"holiday"
"621","The Spirit",60000000,39031337,-20968663,"Not Profitable",0,2008-12-25,2008,"Comedy",103,4.7,320,"holiday"
"622","Mortdecai",60000000,30418560,-29581440,"Not Profitable",0,2015-01-21,2015,"Comedy",106,5.4,1055,"na"
"623","The Great Raid",80000000,10166502,-69833498,"Not Profitable",0,2005-08-12,2005,"Action/Adventure",132,6.8,91,"summer"
"624","Deadpool",58000000,783112979,725112979,"Profitable",1,2016-02-09,2016,"Comedy",108,7.4,10995,"na"
"625","American Sniper",58800000,542307423,483507423,"Profitable",1,2014-12-11,2014,"Action/Adventure",133,7.4,4469,"holiday"
"626","Goosebumps",58000000,158162788,100162788,"Profitable",1,2015-08-05,2015,"Comedy",103,6.2,995,"summer"
"627","Just Like Heaven",58000000,102854431,44854431,"Profitable",1,2005-09-16,2005,"Comedy",95,6.5,579,"na"
"628","The Flintstones in Viva Rock Vegas",83000000,59468275,-23531725,"Not Profitable",0,2000-04-28,2000,"Comedy",90,4.4,134,"na"
"629","Leatherheads",58000000,41299492,-16700508,"Not Profitable",0,2008-03-24,2008,"Drama",114,5.7,130,"na"
"630","Did You Hear About the Morgans?",58000000,85280250,27280250,"Profitable",1,2009-12-17,2009,"Comedy",103,5.1,276,"holiday"
"631","The Internship",58000000,44000000,-14000000,"Not Profitable",0,2013-06-07,2013,"Comedy",119,6.1,1658,"summer"
"632","Resident Evil: Afterlife",60000000,300228084,240228084,"Profitable",1,2010-09-09,2010,"Action/Adventure",97,5.8,1363,"na"
"633","Red Tails",58000000,50365377,-7634623,"Not Profitable",0,2012-01-19,2012,"Drama",125,5.9,178,"na"
"634","That's My Boy",70000000,58058367,-11941633,"Not Profitable",0,2012-06-14,2012,"Comedy",116,5.5,453,"summer"
"635","After the Sunset",60000000,61347797,1347797,"Profitable",1,2004-11-12,2004,"Drama",97,6,226,"holiday"
"636","Ghost Rider: Spirit of Vengeance",57000000,149217355,92217355,"Profitable",1,2011-12-10,2011,"Action/Adventure",95,4.7,1135,"holiday"
"637","Captain Corelli's Mandolin",57000000,62112895,5112895,"Profitable",1,2001-08-17,2001,"Drama",131,5.5,145,"summer"
"638","The Pacifier",56000000,113006880,57006880,"Profitable",1,2005-03-04,2005,"Drama",95,5.8,842,"na"
"639","Walking Tall",56000000,57223890,1223890,"Profitable",1,2004-04-02,2004,"Drama",86,6,381,"na"
"640","Alvin and the Chipmunks",60000000,361366633,301366633,"Profitable",1,2007-12-13,2007,"Comedy",92,5.5,1177,"holiday"
"641","Meet the Parents",55000000,330444045,275444045,"Profitable",1,2000-10-06,2000,"Comedy",108,6.6,1698,"na"
"642","Hitch",70000000,368100420,298100420,"Profitable",1,2005-02-10,2005,"Drama",118,6.4,1665,"na"
"643","American Wedding",55000000,231449203,176449203,"Profitable",1,2003-08-01,2003,"Comedy",103,6,1129,"summer"
"644","Captain Phillips",55000000,95000000,40000000,"Profitable",1,2013-10-10,2013,"Drama",134,7.6,2454,"na"
"645","Date Night",55000000,152263880,97263880,"Profitable",1,2010-04-08,2010,"Comedy",97,5.9,1122,"na"
"646","The Equalizer",55000000,192330738,137330738,"Profitable",1,2014-09-24,2014,"Action/Adventure",132,7.1,2954,"na"
"647","Maid in Manhattan",55000000,154906693,99906693,"Profitable",1,2002-12-13,2002,"Drama",105,5.6,485,"holiday"
"648","The Pursuit of Happyness",55000000,307077295,252077295,"Profitable",1,2006-12-14,2006,"Drama",117,7.7,2525,"holiday"
"649","Flightplan",55000000,223387299,168387299,"Profitable",1,2005-09-22,2005,"Drama",98,6.1,772,"na"
"650","Kill Bill: Vol. 1",30000000,180949000,150949000,"Profitable",1,2003-10-10,2003,"Action/Adventure",111,7.7,4949,"na"
"651","Kill Bill: Vol. 2",30000000,152159461,122159461,"Profitable",1,2004-04-16,2004,"Action/Adventure",136,7.6,3948,"na"
"652","Shanghai Noon",55000000,56932305,1932305,"Profitable",1,2000-05-26,2000,"Comedy",110,6.2,735,"na"
"653","Mr. Popper's Penguins",55000000,187361754,132361754,"Profitable",1,2011-06-17,2011,"Comedy",94,5.7,751,"summer"
"654","The Forbidden Kingdom",55000000,127906624,72906624,"Profitable",1,2008-04-18,2008,"Action/Adventure",104,6.3,461,"na"
"655","Free Birds",55000000,110000000,55000000,"Profitable",1,2013-10-30,2013,"Comedy",91,5.7,254,"na"
"656","Paddington",55000000,259207227,204207227,"Profitable",1,2014-11-27,2014,"Comedy",95,7,883,"holiday"
"657","The Watch",68000000,68267862,267862,"Profitable",1,2012-07-26,2012,"Comedy",98,5.3,881,"summer"
"658","The Hunted",55000000,34234008,-20765992,"Not Profitable",0,2003-03-11,2003,"Drama",94,6,189,"na"
"659","Stuck on You",55000000,33828318,-21171682,"Not Profitable",0,2003-12-10,2003,"Comedy",118,5.1,188,"holiday"
"660","The Pirates! In an Adventure with Scientists!",60000000,118338361,58338361,"Profitable",1,2012-03-12,2012,"Comedy",88,6.4,374,"na"
"661","Changeling",55000000,113020255,58020255,"Profitable",1,2008-01-30,2008,"Drama",141,7.3,1131,"na"
"662","The Phantom of the Opera",70000000,154648887,84648887,"Profitable",1,2004-12-08,2004,"Drama",143,7,438,"holiday"
